GEOID,route_id,n_stops,best_headway_min,total_trips,route_short_name,route_long_name,route_type
12086009317,30423,3,60.0,7,54,HIALEAH-MIAMI LAKES-BISCA VIA 54 ST,3
12086009317,30449,14,22.5,106,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009318,30449,2,22.5,16,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009319,30449,4,22.5,32,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009320,30449,9,22.5,69,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009321,30419,5,30.0,24,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE,3
12086009322,23895,7,45.0,28,HIAFLA,City of Hialeah Transit (Flamingo),3
12086009322,30423,5,36.0,17,54,HIALEAH-MIAMI LAKES-BISCA VIA 54 ST,3
12086009323,23895,3,45.0,12,HIAFLA,City of Hialeah Transit (Flamingo),3
12086009323,30423,10,36.0,29,54,HIALEAH-MIAMI LAKES-BISCA VIA 54 ST,3
12086009323,30449,9,22.5,70,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009324,30449,7,22.5,53,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009325,23896,1,45.0,4,HIAMAR,City of Hialeah Transit (Marlin),3
12086009325,30419,6,30.0,29,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE,3
12086009326,23895,10,45.0,40,HIAFLA,City of Hialeah Transit (Flamingo),3
12086009326,30423,10,36.0,46,54,HIALEAH-MIAMI LAKES-BISCA VIA 54 ST,3
12086009326,30449,7,22.5,56,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009327,30449,14,22.5,110,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009401,30415,18,15.0,156,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086009401,30416,4,30.0,22,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086009401,30430,8,30.0,44,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086009401,30435,4,60.0,12,95,I-95 GOLDEN GLADES EXPRESS,3
12086009401,30449,8,22.5,60,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009402,30415,8,30.0,48,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086009402,30416,11,30.0,60,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086009402,30430,7,30.0,38,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086009402,30435,4,60.0,12,95,I-95 GOLDEN GLADES EXPRESS,3
12086009402,30449,8,22.5,60,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009503,30408,17,22.5,120,17,163 ST TERM-VIZ VIA 17 AV,3
12086009503,30415,12,15.0,120,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086009503,30430,13,30.0,68,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086009503,30435,7,60.0,21,95,I-95 GOLDEN GLADES EXPRESS,3
12086009503,30449,14,22.5,107,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009504,30408,6,20.0,41,17,163 ST TERM-VIZ VIA 17 AV,3
12086009504,30430,16,36.0,80,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086009504,30435,6,45.0,23,95,I-95 GOLDEN GLADES EXPRESS,3
12086009504,30449,6,22.5,44,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009505,28819,1,90.0,2,NMBEACD,City of North Miami Beach Purple Rt,3
12086009505,30408,10,22.5,65,17,163 ST TERM-VIZ VIA 17 AV,3
12086009505,30719,2,10.588235294117647,30,77,NORWOOD - DOWNTOWN VIA NW 7 AVE,3
12086009506,28819,5,90.0,10,NMBEACD,City of North Miami Beach Purple Rt,3
12086009506,30408,27,20.0,173,17,163 ST TERM-VIZ VIA 17 AV,3
12086009506,30449,17,22.5,130,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086009506,30719,16,10.588235294117647,179,77,NORWOOD - DOWNTOWN VIA NW 7 AVE,3
12086009601,30408,5,20.0,30,17,163 ST TERM-VIZ VIA 17 AV,3
12086009601,30717,3,30.0,18,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086009601,30719,7,20.0,51,77,NORWOOD - DOWNTOWN VIA NW 7 AVE,3
