GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086020001,Census Tract 200.01; Miami-Dade County; Florida,54.0,6.2,76.3,2.6,0.0,2.2,45.4,74397,101072,28968,6.6,2.6,0.0,1.0,18.3,23.8,2.6,18.2,19.8,7.1,8.4,32.5,23.5,1.5,11.1,47.4,40.1,86.0,14.0,-666666666,0.0,0.0,606,100.0,0.0,2320,43.6,15.9,17.5,59.7,4.4,31.5,0.3,88.4,53.5,2022
12086020002,Census Tract 200.02; Miami-Dade County; Florida,59.1,2.5,70.9,0.0,0.0,19.5,41.7,112188,114897,33277,5.5,1.5,0.8,2.6,5.1,19.9,12.8,20.9,19.9,11.0,16.3,14.4,8.9,5.7,6.6,42.0,45.7,79.0,21.0,2833,41.3,5.0,1432,100.0,0.0,5269,42.6,19.6,20.4,51.0,8.6,34.3,0.0,74.4,39.6,2022
12086020100,Census Tract 201; Miami-Dade County; Florida,48.8,2.6,82.2,1.1,0.0,8.5,37.1,77788,104137,27064,2.2,0.0,3.3,11.5,13.4,19.2,18.2,12.4,8.8,10.9,16.8,24.2,9.1,0.9,20.5,44.1,34.5,85.2,14.8,2302,0.0,63.9,1118,100.0,0.0,4465,48.2,16.1,24.9,44.9,3.5,29.9,0.6,80.9,58.6,2022
12086020200,Census Tract 202; Miami-Dade County; Florida,53.3,3.7,80.3,0.4,0.0,9.8,34.5,54883,68976,18748,2.1,6.9,14.2,7.9,13.4,18.5,14.0,14.7,4.6,3.6,23.4,33.5,21.3,1.4,39.1,32.9,26.7,42.1,57.9,1650,13.6,52.6,1513,97.0,3.0,5754,37.7,19.3,12.1,43.4,9.2,34.8,0.6,82.7,54.1,2022
12086020300,Census Tract 203; Miami-Dade County; Florida,58.8,3.8,84.3,0.2,0.1,6.2,39.8,80458,85319,27331,4.4,2.2,10.4,7.4,6.7,13.5,25.9,14.0,7.8,7.7,10.7,25.7,13.2,3.7,18.6,42.5,35.2,83.1,16.9,1901,4.4,67.5,1028,99.2,0.8,3331,45.3,17.1,21.7,38.5,7.4,45.7,0.4,86.6,65.1,2022
12086490100,Census Tract 4901; Miami-Dade County; Florida,72.2,2.9,90.3,3.1,1.8,2.9,26.0,63889,87444,32339,2.2,2.2,13.4,8.9,16.0,22.9,12.3,10.3,8.9,2.8,10.7,19.4,19.0,7.9,30.8,33.6,27.7,41.5,58.5,1201,17.2,35.2,503,98.2,1.8,1373,43.7,11.8,18.9,54.0,0.0,42.5,0.0,96.5,77.1,2022
12086980100,Census Tract 9801; Miami-Dade County; Florida,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666,-666666666,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666.0,-666666666.0,0,-666666666.0,-666666666.0,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2022
12086980200,Census Tract 9802; Miami-Dade County; Florida,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666,-666666666,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666.0,-666666666.0,0,-666666666.0,-666666666.0,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2022
12086980300,Census Tract 9803; Miami-Dade County; Florida,26.1,25.3,32.2,5.7,41.4,17.2,15.0,-666666666,-999999999,3110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,70.0,0.0,9.1,0.0,100.0,0.0,0.0,0.0,100.0,-666666666,0.0,0.0,12,33.3,66.7,6016,19.5,1.1,0.1,68.3,16.8,5.5,8.4,13.9,10.4,2022
12086980400,Census Tract 9804; Miami-Dade County; Florida,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666,-666666666,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666.0,-666666666.0,0,-666666666.0,-666666666.0,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2022
