GEOID,NAME,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct
12086001003,Census Tract 10.03; Miami-Dade County; Florida,5.3,27.5,43.1,24.1,66.1,33.9,1642,9.8,38.8,2129,96.1,3.9
12086001004,Census Tract 10.04; Miami-Dade County; Florida,24.8,41.0,18.2,16.0,21.1,78.9,1324,14.7,40.1,2854,88.0,12.0
12086001005,Census Tract 10.05; Miami-Dade County; Florida,34.3,40.7,21.4,3.5,29.7,70.3,-666666666,15.4,45.3,912,83.4,16.6
12086001006,Census Tract 10.06; Miami-Dade County; Florida,32.2,41.6,20.7,5.5,37.0,63.0,942,4.7,48.7,1818,90.5,9.5
12086001007,Census Tract 10.07; Miami-Dade County; Florida,6.6,33.0,41.5,18.9,71.3,28.7,1671,21.5,51.9,1055,91.7,8.3
12086001008,Census Tract 10.08; Miami-Dade County; Florida,7.6,52.5,27.9,12.0,44.9,55.1,-666666666,5.3,59.2,1231,96.5,3.5
12086001101,Census Tract 11.01; Miami-Dade County; Florida,3.2,24.7,42.4,29.7,68.0,32.0,1577,0.0,64.1,1484,93.4,6.6
12086001102,Census Tract 11.02; Miami-Dade County; Florida,5.7,17.3,44.7,32.2,83.5,16.5,1791,0.0,38.1,1301,97.6,2.4
12086001103,Census Tract 11.03; Miami-Dade County; Florida,6.3,24.9,48.5,20.4,50.0,50.0,1463,11.8,41.3,1625,88.6,11.4
12086001104,Census Tract 11.04; Miami-Dade County; Florida,3.2,31.4,45.3,20.1,93.4,6.6,2342,0.0,54.4,1791,96.6,3.4
12086001204,Census Tract 12.04; Miami-Dade County; Florida,8.4,52.5,33.5,5.6,51.7,48.3,1794,4.6,70.9,2817,88.1,11.9
12086001205,Census Tract 12.05; Miami-Dade County; Florida,9.8,41.6,36.3,12.4,72.1,27.9,1778,7.6,40.8,1109,79.5,20.5
12086001206,Census Tract 12.06; Miami-Dade County; Florida,3.9,43.1,41.9,11.1,74.9,25.1,1486,3.5,60.3,2231,79.5,20.5
12086001207,Census Tract 12.07; Miami-Dade County; Florida,0.0,37.6,44.8,17.6,72.1,27.9,1829,9.0,69.0,618,94.7,5.3
12086001208,Census Tract 12.08; Miami-Dade County; Florida,9.2,51.4,38.6,0.9,19.2,80.8,1673,1.4,46.2,1420,93.7,6.3
12086001209,Census Tract 12.09; Miami-Dade County; Florida,14.9,46.2,34.9,4.0,26.5,73.5,1718,7.7,44.2,1470,87.4,12.6
