GEOID,NAME,total_population,median_age,under_18_pct,age_65_plus_pct,hispanic_latino_pct,white_alone_nh_pct,black_alone_nh_pct,asian_alone_or_combo_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,foreign_born_pct
12086000107,Census Tract 1.07; Miami-Dade County; Florida,2950.0,48.3,16.7,23.4,37.8,52.4,1.6,4.7,66.3,1.6,22.7,0.0
12086007601,Census Tract 76.01; Miami-Dade County; Florida,2568.0,38.4,26.6,14.3,74.0,20.5,1.6,1.7,54.7,1.9,27.1,0.7
12086007603,Census Tract 76.03; Miami-Dade County; Florida,3465.0,31.7,15.2,20.9,38.4,23.5,26.5,7.7,28.8,27.1,37.5,0.0
12086007605,Census Tract 76.05; Miami-Dade County; Florida,3178.0,39.9,17.8,13.8,66.1,20.0,8.7,2.4,46.4,8.7,37.3,0.3
12086007607,Census Tract 76.07; Miami-Dade County; Florida,2165.0,45.2,14.4,24.3,65.9,30.1,0.4,4.8,46.0,0.4,44.3,0.0
12086007608,Census Tract 76.08; Miami-Dade County; Florida,2343.0,38.9,28.2,12.1,38.6,45.2,8.5,4.9,59.8,8.5,27.0,0.0
12086007609,Census Tract 76.09; Miami-Dade County; Florida,1728.0,39.6,16.7,15.5,44.8,40.8,6.1,4.1,61.5,8.0,24.2,1.9
12086007610,Census Tract 76.10; Miami-Dade County; Florida,4534.0,40.5,15.8,12.5,57.3,24.1,3.3,8.1,39.3,3.3,49.7,0.4
12086007704,Census Tract 77.04; Miami-Dade County; Florida,5811.0,37.6,23.1,17.9,66.0,24.4,4.7,1.8,47.5,4.7,42.1,1.0
12086007705,Census Tract 77.05; Miami-Dade County; Florida,5454.0,39.2,15.7,22.8,73.9,22.5,2.4,0.0,48.4,2.4,37.4,0.4
12086007706,Census Tract 77.06; Miami-Dade County; Florida,3173.0,55.3,13.8,32.1,70.4,26.4,0.5,3.5,53.8,0.5,39.1,0.0
12086007707,Census Tract 77.07; Miami-Dade County; Florida,3124.0,39.6,17.5,16.6,73.4,24.7,0.4,1.6,42.3,0.4,53.4,0.0
12086007708,Census Tract 77.08; Miami-Dade County; Florida,2383.0,50.1,10.5,26.9,92.9,5.7,1.0,0.0,52.5,1.0,40.9,0.0
12086007709,Census Tract 77.09; Miami-Dade County; Florida,2786.0,51.2,17.0,20.6,88.5,5.6,0.1,3.5,31.4,7.4,51.7,2.2
12086007801,Census Tract 78.01; Miami-Dade County; Florida,599.0,49.9,22.9,29.4,43.2,51.1,0.7,0.7,68.3,0.7,27.4,0.7
12086007805,Census Tract 78.05; Miami-Dade County; Florida,4376.0,43.5,24.4,20.9,58.3,37.3,1.0,1.8,64.2,1.2,32.4,0.2
12086007806,Census Tract 78.06; Miami-Dade County; Florida,3872.0,42.1,29.5,22.4,39.2,51.5,2.3,4.2,60.7,2.3,32.0,2.5
12086007807,Census Tract 78.07; Miami-Dade County; Florida,4965.0,41.2,30.8,13.5,52.9,39.2,0.9,4.5,51.8,1.1,42.3,0.2
12086007808,Census Tract 78.08; Miami-Dade County; Florida,4140.0,41.5,10.2,17.9,74.1,14.6,5.6,6.3,39.7,5.6,44.3,0.0
12086007809,Census Tract 78.09; Miami-Dade County; Florida,3984.0,39.8,18.2,18.7,70.0,16.0,2.7,10.4,45.5,3.6,30.4,0.0
12086007901,Census Tract 79.01; Miami-Dade County; Florida,4221.0,42.4,23.8,24.2,64.4,21.3,0.9,9.0,45.3,0.9,42.5,3.0
12086007902,Census Tract 79.02; Miami-Dade County; Florida,3074.0,45.2,25.3,19.0,57.5,36.2,0.0,5.0,57.4,0.9,34.5,2.1
12086008000,Census Tract 80; Miami-Dade County; Florida,4664.0,48.4,19.4,20.0,67.8,26.8,0.8,2.8,48.0,0.8,45.7,0.0
12086008101,Census Tract 81.01; Miami-Dade County; Florida,3514.0,43.3,30.2,15.3,37.8,48.5,4.0,7.1,57.1,4.0,31.5,0.8
12086008102,Census Tract 81.02; Miami-Dade County; Florida,4493.0,45.1,26.1,20.9,43.0,45.4,1.0,8.1,57.0,1.0,34.6,0.0
12086008202,Census Tract 82.02; Miami-Dade County; Florida,4496.0,40.6,25.9,14.0,60.1,29.9,2.4,8.7,56.8,2.7,31.3,0.4
12086008205,Census Tract 82.05; Miami-Dade County; Florida,4043.0,45.4,26.8,23.6,40.7,48.0,1.1,6.6,64.5,1.1,30.2,0.3
12086008206,Census Tract 82.06; Miami-Dade County; Florida,3795.0,46.8,23.2,17.6,47.9,40.3,1.2,9.1,55.5,1.2,34.9,0.3
12086008207,Census Tract 82.07; Miami-Dade County; Florida,4970.0,38.2,24.6,11.0,36.1,52.3,1.5,5.7,66.7,2.2,26.8,1.4
12086008208,Census Tract 82.08; Miami-Dade County; Florida,4660.0,38.9,20.8,12.4,60.2,22.3,8.6,4.3,44.6,8.6,37.5,2.4
12086008209,Census Tract 82.09; Miami-Dade County; Florida,4155.0,39.4,26.0,16.9,40.9,44.0,9.6,3.7,59.5,9.6,22.7,1.0
12086008305,Census Tract 83.05; Miami-Dade County; Florida,5649.0,38.4,21.9,18.6,52.7,33.3,6.7,2.2,49.0,6.8,37.8,3.2
12086008308,Census Tract 83.08; Miami-Dade County; Florida,5475.0,38.5,22.9,13.5,73.9,4.6,19.0,0.9,33.1,19.8,44.1,0.1
12086008309,Census Tract 83.09; Miami-Dade County; Florida,4469.0,31.6,32.3,8.7,30.7,0.4,66.2,0.8,7.5,69.7,18.0,0.0
12086008310,Census Tract 83.10; Miami-Dade County; Florida,4383.0,42.6,25.2,17.2,60.5,15.1,18.0,2.3,31.8,18.0,45.7,0.3
12086008311,Census Tract 83.11; Miami-Dade County; Florida,4343.0,42.6,19.6,16.5,51.3,7.6,38.7,2.2,31.1,38.7,25.2,0.3
12086008312,Census Tract 83.12; Miami-Dade County; Florida,3474.0,40.8,13.3,19.5,60.0,1.2,35.0,0.0,7.4,35.3,56.3,0.0
12086008313,Census Tract 83.13; Miami-Dade County; Florida,5148.0,40.3,22.1,21.2,42.4,2.6,51.8,2.4,13.8,52.3,26.0,0.0
12086008314,Census Tract 83.14; Miami-Dade County; Florida,2957.0,35.8,22.6,14.1,58.7,2.0,32.4,4.1,14.0,38.4,21.7,2.5
12086008315,Census Tract 83.15; Miami-Dade County; Florida,4904.0,41.0,18.2,17.9,54.5,2.0,38.9,1.5,6.6,40.2,45.5,3.0
