GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086004303,"Census Tract 43.03, Miami-Dade County, Florida",81.7,1.1,26.9,11.0,34.5,1.7,21.1,41313,58712,31874,8.7,4.6,18.4,11.7,17.4,17.7,8.0,8.3,3.2,2.1,15.6,22.9,42.6,49.2,33.6,14.9,2.4,19.0,81.0,1406,14.2,58.3,1986,68.3,31.7,2761,42.3,12.1,9.3,47.4,3.9,2.5,5.8,62.2,64.7,2019
12086004304,"Census Tract 43.04, Miami-Dade County, Florida",75.6,6.0,49.3,6.7,12.0,5.9,20.8,53809,71559,40101,5.0,5.6,4.3,10.3,17.0,24.7,12.8,10.9,5.5,3.7,11.8,10.3,31.5,24.1,55.1,17.7,3.1,37.8,62.2,1364,9.3,47.3,1763,69.7,30.3,2317,35.6,12.9,8.8,76.4,1.8,1.0,1.6,56.3,54.1,2019
12086004403,"Census Tract 44.03, Miami-Dade County, Florida",70.0,3.1,39.1,10.3,14.7,11.8,24.0,43917,68712,37490,13.5,12.6,6.0,7.5,18.1,12.4,14.0,6.4,4.0,5.5,22.4,17.8,32.4,44.0,46.4,7.2,2.4,24.2,75.8,1357,6.1,42.1,2573,74.1,25.9,3739,37.2,12.9,11.3,59.0,5.8,5.2,0.4,69.2,61.0,2019
12086004404,"Census Tract 44.04, Miami-Dade County, Florida",54.6,6.0,48.9,5.7,22.0,5.2,23.5,31023,52021,31857,24.4,9.5,12.4,7.7,10.8,12.1,6.4,11.2,2.9,2.4,31.8,31.7,24.5,40.3,51.5,7.2,0.9,20.8,79.2,1170,2.4,39.0,2234,55.0,45.0,2085,40.4,11.9,27.3,69.2,0.0,5.3,0.5,66.6,60.0,2019
12086004405,"Census Tract 44.05, Miami-Dade County, Florida",70.5,3.4,29.3,18.6,23.9,6.0,23.5,35000,44881,22943,20.1,4.2,17.0,8.7,15.6,15.6,8.7,9.0,0.5,0.6,24.8,30.9,32.9,48.5,42.4,9.1,0.0,15.1,84.9,1263,3.1,63.1,2234,80.1,19.9,3713,33.2,22.6,14.0,51.3,11.3,2.0,2.8,66.3,49.8,2019
12086004406,"Census Tract 44.06, Miami-Dade County, Florida",74.0,7.7,52.8,2.2,15.6,11.5,20.3,70000,91550,56528,8.5,5.3,8.0,11.7,2.4,17.2,15.0,13.1,10.1,8.7,9.0,12.5,19.7,27.5,53.9,17.0,1.6,27.8,72.2,1726,15.1,43.3,2140,71.1,28.9,2552,40.8,7.8,11.0,67.9,4.9,1.7,3.8,46.4,47.3,2019
12086004500,"Census Tract 45, Miami-Dade County, Florida",48.9,0.8,46.6,10.8,11.1,21.9,25.3,76635,211397,109035,17.1,6.8,10.5,6.6,5.8,2.7,3.6,11.5,4.4,30.8,16.9,20.8,5.1,24.8,42.0,26.7,6.5,47.7,52.3,495,16.6,26.4,4825,44.7,55.3,4135,56.8,13.4,38.2,83.8,2.2,1.6,1.1,38.8,41.8,2019
12086004602,"Census Tract 46.02, Miami-Dade County, Florida",64.2,0.4,78.8,1.7,5.9,8.1,24.5,178750,293384,84338,1.3,0.0,0.7,0.0,3.6,7.2,9.2,11.9,21.8,44.3,2.6,0.0,4.2,1.0,13.0,46.4,39.6,79.8,20.2,2642,14.1,54.5,1347,79.7,20.3,3860,42.8,28.7,11.5,94.2,0.0,2.0,0.7,73.7,49.6,2019
12086004605,"Census Tract 46.05, Miami-Dade County, Florida",59.6,4.8,79.0,1.3,2.0,9.8,31.9,134167,188446,66786,3.7,3.0,1.9,7.2,4.0,6.8,11.7,16.3,10.8,34.6,5.1,0.3,3.3,2.0,37.2,52.9,7.9,64.6,35.4,2761,3.0,35.5,2292,57.3,42.7,3859,40.7,31.3,13.1,97.5,0.2,0.8,0.0,71.5,52.9,2019
12086004607,"Census Tract 46.07, Miami-Dade County, Florida",47.6,13.7,76.2,1.8,2.4,15.2,24.1,129625,230007,92473,6.1,3.5,5.0,4.9,9.0,8.3,7.1,8.6,6.5,41.0,5.9,0.0,2.0,4.7,45.8,32.4,17.1,71.6,28.4,2077,7.6,33.6,2605,49.5,50.5,3244,47.3,22.5,28.3,96.7,0.0,2.5,0.0,63.3,48.8,2019
