GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,two_or_more_races_pct,year,hispanic_latino_pct,black_alone_pct,asian_alone_pct,foreign_born_pct
12086000221,Census Tract 2.21; Miami-Dade County; Florida,61.6,15.0,64.1,9.9,1.2,3.7,26.7,82439,83731,25953,4.6,7.3,3.9,4.3,13.1,8.1,20.1,23.6,11.7,3.3,14.6,31.6,14.8,1.7,43.3,34.7,20.3,48.9,51.1,1737,13.7,65.2,757,92.5,7.5,2491,37.7,22.4,16.0,27.3,33.6,2024,46.6,36.0,0.8,64.7
12086000222,Census Tract 2.22; Miami-Dade County; Florida,70.6,0.8,60.3,12.3,1.6,4.3,30.0,65817,73028,27933,5.5,1.8,9.1,2.4,23.1,21.2,9.8,20.8,4.5,1.8,12.6,16.1,15.6,9.3,35.7,33.6,21.4,67.7,32.3,1779,8.1,58.1,1422,91.6,8.4,3729,44.9,12.0,23.6,24.2,30.1,2024,51.5,21.6,6.9,61.8
12086000223,Census Tract 2.23; Miami-Dade County; Florida,57.6,7.0,62.7,11.2,0.0,13.5,34.4,48649,67825,24211,2.3,2.3,1.5,19.9,26.0,12.8,20.4,7.3,4.4,3.1,18.2,24.3,33.7,9.7,33.5,38.6,18.3,39.3,60.7,1712,0.0,86.1,1116,91.6,8.4,3255,41.7,15.5,17.1,8.2,30.3,2024,43.0,47.1,0.1,53.4
12086000224,Census Tract 2.24; Miami-Dade County; Florida,77.6,2.7,72.2,3.7,0.2,6.8,30.6,54833,62461,26587,15.0,0.5,15.8,6.0,9.0,14.3,16.0,18.3,2.9,2.1,18.9,16.1,19.0,17.3,41.2,34.0,7.6,9.1,90.9,1807,5.6,58.8,1886,97.3,2.7,4672,34.2,25.9,6.9,11.5,20.7,2024,35.7,52.7,0.3,59.5
12086000225,Census Tract 2.25; Miami-Dade County; Florida,63.7,1.0,71.8,6.9,0.5,8.1,27.9,62000,69879,31443,4.2,9.1,5.4,10.2,11.9,16.7,24.4,13.6,0.0,4.4,16.9,23.6,25.0,3.6,68.6,26.0,1.8,20.2,79.8,1770,3.5,56.5,1979,88.5,11.5,3933,36.8,18.5,13.8,16.3,43.6,2024,76.7,9.1,4.1,69.1
12086000226,Census Tract 2.26; Miami-Dade County; Florida,44.7,5.8,52.9,0.0,2.0,18.7,18.0,76250,110011,37053,8.2,9.7,15.3,6.3,3.3,5.9,12.8,18.2,12.6,7.8,12.6,13.9,11.0,13.8,51.4,29.3,5.5,91.2,8.8,2656,0.0,89.7,1022,76.7,23.3,2398,35.9,32.7,23.7,80.0,5.9,2024,12.2,5.0,2.5,27.3
12086000227,Census Tract 2.27; Miami-Dade County; Florida,59.0,3.4,76.3,3.3,1.7,10.2,35.3,54395,89972,31110,10.2,0.4,11.5,13.3,9.0,9.7,9.2,12.2,12.4,12.1,12.4,39.2,10.5,24.9,30.0,24.6,20.5,67.4,32.6,1177,6.6,49.0,859,97.1,2.9,2812,46.5,14.0,15.8,4.2,23.5,2024,26.6,69.7,1.8,68.0
12086000228,Census Tract 2.28; Miami-Dade County; Florida,65.2,2.7,74.6,4.4,0.9,1.6,27.6,65038,68567,23939,8.0,2.2,9.9,10.8,14.5,17.5,17.6,14.9,1.9,2.5,19.5,24.1,19.9,9.6,48.9,25.7,15.8,44.1,55.9,1529,10.7,59.0,1090,94.2,5.8,3052,39.5,20.3,19.1,4.1,19.9,2024,22.5,70.4,2.6,65.1
12086000302,Census Tract 3.02; Miami-Dade County; Florida,71.7,5.0,75.0,3.7,1.2,8.5,28.7,88589,98910,32428,4.8,5.4,2.8,10.9,4.6,12.8,18.3,17.4,17.0,6.0,9.1,12.2,17.6,4.3,18.3,43.2,34.1,87.0,13.0,2590,0.0,97.7,733,91.5,8.5,2111,39.3,16.2,17.2,16.8,22.0,2024,38.3,45.6,1.6,49.8
12086000306,Census Tract 3.06; Miami-Dade County; Florida,58.3,9.9,49.1,24.3,5.6,2.9,37.7,46987,77960,30722,8.3,3.8,8.6,15.4,14.8,12.0,12.1,12.9,4.0,8.0,29.1,30.8,23.0,25.1,39.0,16.1,19.8,28.1,71.9,1509,6.3,59.2,1940,94.2,5.8,4844,39.1,20.1,15.3,11.6,20.5,2024,30.2,56.6,4.1,49.1
12086000307,Census Tract 3.07; Miami-Dade County; Florida,51.9,5.0,87.3,1.6,0.0,3.7,30.6,57366,73118,20763,0.0,9.2,6.1,7.0,17.6,21.5,16.8,14.2,5.1,2.5,9.5,31.7,16.8,6.0,32.9,42.0,19.1,71.8,28.2,2047,5.1,63.9,1223,96.4,3.6,4456,34.7,29.3,14.6,14.8,12.7,2024,30.5,61.6,0.0,42.2
12086000308,Census Tract 3.08; Miami-Dade County; Florida,63.0,10.4,72.1,4.8,1.2,12.4,28.3,68802,117084,34539,4.3,2.4,0.6,5.6,10.0,28.0,11.5,24.6,6.8,6.1,9.7,25.7,13.0,7.2,23.7,43.4,25.8,91.1,8.9,1914,0.0,54.7,1338,88.7,11.3,4386,42.3,22.4,16.2,16.0,20.2,2024,27.4,54.8,1.6,48.0
12086000309,Census Tract 3.09; Miami-Dade County; Florida,51.6,7.3,80.2,13.5,0.7,4.9,29.7,48542,64139,20663,0.0,9.5,8.7,10.1,24.7,13.2,12.3,14.8,6.7,0.0,12.5,18.9,29.7,12.0,47.6,28.2,12.2,19.5,80.5,1653,6.5,51.6,1259,91.2,8.8,3915,41.5,17.7,26.5,6.0,5.4,2024,12.9,83.4,0.2,61.0
12086000310,Census Tract 3.10; Miami-Dade County; Florida,50.7,8.0,78.0,2.7,0.0,10.6,29.8,54855,73259,26539,10.1,4.4,15.0,7.1,3.8,27.7,5.8,9.5,13.6,3.0,28.4,45.1,7.6,18.1,28.4,46.4,7.1,57.4,42.6,1870,7.6,72.2,1362,97.7,2.3,4154,40.9,24.3,17.1,15.5,30.1,2024,32.7,46.7,5.2,47.8
12086000311,Census Tract 3.11; Miami-Dade County; Florida,48.6,6.8,82.6,0.0,0.0,6.9,35.4,39716,59334,18479,15.0,3.9,2.7,6.1,31.7,11.4,8.1,14.0,2.7,4.3,27.2,45.3,16.8,6.4,40.8,25.6,27.2,69.1,30.9,1397,13.9,84.2,1300,95.7,4.3,4173,36.5,26.6,19.8,13.4,7.2,2024,23.8,68.3,0.0,41.8
12086000312,Census Tract 3.12; Miami-Dade County; Florida,47.9,18.6,68.9,1.7,1.8,16.4,28.2,33563,58325,24706,5.6,5.4,14.9,26.2,17.1,10.9,2.9,10.8,1.4,4.8,26.2,22.2,23.0,13.7,37.5,35.9,12.9,39.4,60.6,1492,0.0,78.9,1382,81.3,18.7,2870,42.0,21.7,22.2,15.8,12.0,2024,23.0,64.6,2.2,36.1
12086000402,Census Tract 4.02; Miami-Dade County; Florida,52.3,7.5,61.7,5.3,0.0,6.9,30.1,44625,59068,18854,9.0,6.3,11.6,14.4,14.4,12.0,8.0,23.0,1.2,0.0,21.0,28.9,39.3,9.4,34.6,33.4,22.6,58.8,41.2,2198,5.0,58.4,1369,96.7,3.3,4508,38.6,23.6,14.4,8.1,37.6,2024,41.1,54.4,0.0,38.8
12086000405,Census Tract 4.05; Miami-Dade County; Florida,52.7,4.4,72.3,4.9,0.0,5.3,32.8,57839,99084,26248,2.6,1.4,13.4,17.2,6.7,18.9,18.8,13.4,2.9,4.8,29.0,25.7,20.9,8.2,30.2,39.1,22.5,81.8,18.2,1647,10.1,64.0,1145,99.0,1.0,4357,39.7,28.9,16.4,3.2,20.0,2024,29.1,70.0,0.0,46.5
