tract_geoid,deficit_actual,deficit_predicted,residual,risk_tier
12086004403,0.3355330728701575,0.33113596,0.004397114437006244,Low
12086004404,0.6441703630889692,0.6199492,0.024221141477946295,Critical
12086004405,0.3313951672638361,0.34336087,-0.011965703812747752,Low
12086004406,0.3820626030815702,0.40844673,-0.026384126101626826,Moderate
12086004500,0.46351366182934006,0.38065714,0.08285652538906296,Moderate
12086004602,0.4561083825407491,0.42511603,0.030992350178764838,Moderate
12086004605,0.44591753458702516,0.44528767,0.0006298599215741052,High
12086004607,0.4395680954624295,0.41727686,0.02229123617898221,Moderate
12086004608,0.4496854338355899,0.44120458,0.008480856151187433,Moderate
12086004701,0.6986947917220219,0.6769685,0.021726276802740863,Critical
12086004705,0.5426618900629373,0.5721562,-0.02949430080925508,High
12086004703,0.37624684000232966,0.3747138,0.0015330317042187014,Moderate
12086004901,0.41667157093369855,0.40066004,0.01601153293931379,Moderate
12086004904,0.48928962232380446,0.55328447,-0.06399484394282762,High
12086005004,0.6008930688950164,0.5788414,0.02205168066946095,High
12086005002,0.3724782086041484,0.36578256,0.006695649686149108,Low
12086005102,0.3597322086222419,0.35186473,0.007867483270908304,Low
12086005103,0.4086355354724671,0.39860123,0.010034301513269117,Moderate
12086005104,0.4091138522936886,0.41190174,-0.0027878899262363532,Moderate
12086005201,0.35409210196156116,0.35701984,-0.0029277397094288338,Low
12086005202,0.35563018185439066,0.35933575,-0.0037055684870247463,Low
12086005305,0.5941527058550756,0.5886506,0.005502121634189394,Critical
12086005303,0.3771757351308417,0.38013032,-0.0029545856565881268,Moderate
12086005304,0.4058273083443833,0.42629048,-0.020463173938255252,Moderate
12086005403,0.3734879120278964,0.37729803,-0.003810115249096413,Moderate
12086005405,0.3695023237375664,0.36956847,-6.614340263133567e-05,Low
12086005406,0.37390111055405406,0.3848426,-0.010941493844673356,Moderate
12086005407,0.3663003656731595,0.36836654,-0.0020661738051425127,Low
12086005409,0.36621428327417094,0.3799833,-0.013769022656920371,Moderate
12086005410,0.38710292304185523,0.40479985,-0.017696925753081905,Moderate
12086005506,0.5743425348738732,0.5743814,-3.887620171882933e-05,High
12086005504,0.5809349043855312,0.63618666,-0.055251754950558896,Critical
12086005600,0.3227077113212962,0.31928882,0.0034188912929911663,Low
12086005701,0.33236505906357816,0.33645388,-0.004088825776433436,Low
12086005706,0.6031280325099635,0.6140872,-0.010959191496689336,Critical
12086005708,0.5192287087526172,0.598555,-0.07932631968595094,Critical
12086005806,0.5161410951471911,0.5649151,-0.048774025454462966,High
12086005803,0.5049228211364319,0.5893235,-0.08440069952396845,Critical
12086005901,0.42733892121235917,0.41982782,0.007511102341814735,Moderate
12086005902,0.4241284654733185,0.40421242,0.019916050254965234,Moderate
