tract_fips,NAME,pop_16plus,in_labor_force,employed,unemployed,workers_16plus,commute_drove_alone,commute_carpooled,commute_public_transit,commute_walked,commute_other,commute_work_from_home,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,poverty_rate_pct,with_health_insurance,without_health_insurance,industry_agriculture,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport_warehouse,occupation_management,occupation_service,n_stops,n_trips_total,n_routes_served,avg_trips_per_stop,wheelchair_accessible_stops,has_rail_access,has_bus,routes_serving,transit_jobs_15min,transit_workers_15min,auto_jobs_15min,transit_auto_ratio_15min,transit_jobs_30min,transit_workers_30min,auto_jobs_30min,transit_auto_ratio_30min,transit_jobs_45min,transit_workers_45min,auto_jobs_45min,transit_auto_ratio_45min,transit_jobs_60min,transit_workers_60min,auto_jobs_60min,transit_auto_ratio_60min,bike_lts2_jobs_30min,bike_lts3_jobs_30min,n_census_blocks,rt_active_vehicles,rt_active_trips,pct_public_transit,pct_drove_alone,pct_walked,unemployment_rate,transit_desert
12086009325,Census Tract 93.25; Miami-Dade County; Florida,2012,1482,1349,133,1331,1142,30,40,0,22,97,25.8,66650,81913,27027,-888888888,-888888888,-888888888,0,242,63,84,16,263,501,150,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,3.01,85.8,0.0,8.97,0
12086009326,Census Tract 93.26; Miami-Dade County; Florida,2732,1417,1409,8,1392,1078,136,70,0,22,86,28.4,37026,62914,25414,-888888888,-888888888,-888888888,19,188,168,68,123,106,497,238,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,5.03,77.44,0.0,0.56,0
12086009327,Census Tract 93.27; Miami-Dade County; Florida,2985,1814,1735,79,1667,1282,178,2,0,40,165,26.5,81250,111079,29158,-888888888,-888888888,-888888888,7,206,56,36,207,148,643,100,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.12,76.9,0.0,4.36,0
12086009401,Census Tract 94.01; Miami-Dade County; Florida,1983,1092,850,242,744,528,63,13,25,15,100,25.8,59917,86326,28046,-888888888,-888888888,-888888888,9,19,54,2,79,113,220,219,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1.75,70.97,3.36,22.16,0
12086009402,Census Tract 94.02; Miami-Dade County; Florida,3031,1635,1535,100,1535,1277,131,2,0,10,115,32.0,68550,76229,22564,-888888888,-888888888,-888888888,10,164,132,23,114,211,389,299,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.13,83.19,0.0,6.12,0
12086009503,Census Tract 95.03; Miami-Dade County; Florida,4284,2847,2712,135,2641,2122,169,20,0,0,330,23.8,76653,91223,30211,-888888888,-888888888,-888888888,0,264,28,0,370,155,804,562,38,4531,2.0,119.23684210526316,0,0,1,"17, 183, 27, 401, 75, 95",784.4069767441861,2345.6162790697676,183825.88372093023,0.0043,10512.627906976744,23211.918604651164,1626488.5232558139,0.0065,44963.53488372093,80877.22093023256,2127322.2209302327,0.0211,135383.96511627908,208188.37209302327,2406040.197674419,0.0563,1929.8139534883721,37272.86046511628,86.0,0,0,0.76,80.35,0.0,4.74,0
12086009504,Census Tract 95.04; Miami-Dade County; Florida,3850,2313,2101,212,2063,1395,72,232,0,152,212,27.2,74194,92618,26571,-888888888,-888888888,-888888888,53,101,119,25,358,266,615,510,19,2060,2.0,108.42105263157895,0,0,1,"17, 183, 401, 75, 95",1491.546511627907,1998.9651162790697,200948.5465116279,0.0074,12060.023255813954,14457.732558139534,1649193.7325581396,0.0073,40246.37209302326,61949.3023255814,2133313.2906976743,0.0189,111166.77906976744,173791.5,2418821.604651163,0.046,4006.139534883721,33971.01162790698,86.0,1,0,11.25,67.62,0.0,9.17,0
12086009505,Census Tract 95.05; Miami-Dade County; Florida,950,751,700,51,700,431,35,41,0,51,142,24.7,44950,53716,18389,-888888888,-888888888,-888888888,0,0,0,44,105,67,145,265,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,5.86,61.57,0.0,6.79,0
12086009506,Census Tract 95.06; Miami-Dade County; Florida,3299,2020,1844,147,1824,1350,160,69,31,55,159,29.5,47350,64188,22985,-888888888,-888888888,-888888888,0,74,28,14,270,504,380,535,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,3.78,74.01,1.7,7.28,0
12086009601,Census Tract 96.01; Miami-Dade County; Florida,2828,1860,1743,117,1692,1484,135,62,11,0,0,29.2,73636,76266,34616,-888888888,-888888888,-888888888,0,193,26,0,137,91,772,357,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,3.66,87.71,0.65,6.29,0
12086009602,Census Tract 96.02; Miami-Dade County; Florida,2507,1492,1442,50,1428,1117,45,148,0,0,118,32.3,38817,48401,19199,-888888888,-888888888,-888888888,0,44,17,0,288,173,247,330,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,10.36,78.22,0.0,3.35,0
12086009703,Census Tract 97.03; Miami-Dade County; Florida,2137,1483,1455,28,1425,1049,159,15,12,30,160,23.9,123920,215448,67609,-888888888,-888888888,-888888888,0,117,18,90,195,42,734,115,5,479,2.0,95.8,0,0,1,"199, 95",959.6935483870968,864.241935483871,224729.56451612903,0.0043,13332.145161290322,6761.532258064516,1422844.2096774194,0.0094,43523.17741935484,34854.93548387097,2157188.870967742,0.0202,92422.08064516129,103735.48387096774,2500750.693548387,0.037,6404.580645161291,65070.854838709674,62.0,0,0,1.05,73.61,0.84,1.89,0
12086009704,Census Tract 97.04; Miami-Dade County; Florida,3847,2361,2269,92,2235,1699,126,20,35,103,252,30.4,95283,139152,48156,-888888888,-888888888,-888888888,6,88,99,166,289,237,1101,252,28,1602,4.0,57.214285714285715,0,0,1,"183, 199, 510, 9, 95",1869.2626262626263,1395.7070707070707,225270.50505050505,0.0083,19964.010101010103,13067.151515151516,1448358.616161616,0.0138,56173.06060606061,52378.27272727273,2155945.898989899,0.0261,113228.06060606061,139617.39393939395,2493246.414141414,0.0454,8144.141414141414,60823.71717171717,99.0,0,1,0.89,76.02,1.57,3.9,0
