GEOID,NAME,employment_rate_pct,unemployment_rate_pct,commute_drove_alone_pct,commute_public_transit_pct,commute_walked_pct,commute_wfh_pct,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,hh_income_under_10k_pct,hh_income_10k_15k_pct,hh_income_15k_25k_pct,hh_income_25k_35k_pct,hh_income_35k_50k_pct,hh_income_50k_75k_pct,hh_income_75k_100k_pct,hh_income_100k_150k_pct,hh_income_150k_200k_pct,hh_income_200k_plus_pct,poverty_rate_pct,snap_benefits_pct,no_health_insurance_pct,hh_no_vehicle_pct,hh_1_vehicle_pct,hh_2_vehicles_pct,hh_3plus_vehicles_pct,owner_occupied_pct,renter_occupied_pct,median_gross_rent,rent_burden_30pct_plus,rent_burden_50pct_plus,total_housing_units,occupied_units_pct,vacant_units_pct,total_population,median_age,under_18_pct,age_65_plus_pct,white_alone_pct,black_alone_pct,two_or_more_races_pct,asian_alone_pct,hispanic_latino_pct,foreign_born_pct,year
12086007609,"Census Tract 76.09, Miami-Dade County, Florida",73.7,2.9,75.0,17.6,0.0,6.1,32.6,75580,113225,49162,4.4,0.9,5.6,15.3,1.4,21.4,15.6,7.9,10.2,17.3,8.7,0.0,5.4,10.8,39.4,45.8,4.0,53.1,46.9,1734,4.8,35.0,771,85.0,15.0,1623,39.4,14.0,13.4,76.0,4.3,9.0,8.1,62.0,4.3,2021
12086007610,"Census Tract 76.10, Miami-Dade County, Florida",71.3,4.1,47.4,9.7,4.1,30.9,28.2,91697,153897,60468,1.3,4.1,5.2,11.8,8.0,8.8,16.1,11.4,11.8,21.5,9.5,6.8,12.5,5.9,44.6,24.2,25.2,61.6,38.4,1293,7.0,50.1,1940,93.9,6.1,4666,39.7,20.2,13.1,49.7,3.1,41.1,4.9,61.8,2.1,2021
12086007704,"Census Tract 77.04, Miami-Dade County, Florida",60.1,4.3,63.1,6.9,7.3,14.7,26.3,59907,81097,39491,5.4,12.9,6.7,2.2,13.6,16.9,15.5,16.5,3.4,7.0,9.4,11.7,10.8,5.4,62.1,27.5,5.0,38.2,61.8,1829,12.5,46.1,2875,84.0,16.0,5116,33.9,20.9,19.5,72.6,3.7,21.2,1.5,74.6,7.9,2021
12086007705,"Census Tract 77.05, Miami-Dade County, Florida",59.3,0.0,82.0,6.1,0.6,4.6,29.6,63533,128316,61803,11.6,3.3,9.2,5.1,8.4,21.5,8.8,10.9,1.6,19.7,13.1,2.0,3.1,4.9,41.3,40.9,12.9,52.8,47.2,1570,13.7,46.7,2335,94.9,5.1,4811,39.8,16.9,20.1,74.0,2.1,19.8,0.5,62.5,4.7,2021
12086007706,"Census Tract 77.06, Miami-Dade County, Florida",62.6,7.3,84.1,0.5,0.0,12.1,29.5,104306,131605,55887,9.9,1.5,2.6,9.0,3.0,14.6,7.4,15.5,11.3,25.2,8.4,10.1,3.5,7.6,31.9,37.9,22.6,84.8,15.2,1907,4.7,46.2,1388,92.5,7.5,3158,57.8,11.0,33.7,72.8,0.0,25.0,1.4,69.1,4.0,2021
12086007707,"Census Tract 77.07, Miami-Dade County, Florida",71.2,0.4,60.8,0.0,0.0,32.7,31.7,135523,205190,61585,0.0,7.1,12.6,0.0,13.1,3.3,1.8,35.6,13.5,13.0,25.7,19.0,4.3,2.6,20.4,26.1,51.0,79.6,20.4,-666666666,0.0,34.6,936,100.0,0.0,3260,45.7,16.4,9.7,79.4,0.6,19.6,0.0,75.9,0.9,2021
12086007708,"Census Tract 77.08, Miami-Dade County, Florida",54.6,0.0,79.4,0.1,0.0,3.9,31.3,55885,78672,26301,5.9,3.3,6.3,20.6,11.4,9.8,9.4,17.1,13.2,3.1,12.0,14.8,7.8,1.5,20.3,54.2,24.1,72.8,27.2,1904,7.2,48.8,907,90.3,9.7,2562,42.4,13.7,23.1,80.8,2.2,16.4,0.0,93.9,0.0,2021
12086007709,"Census Tract 77.09, Miami-Dade County, Florida",63.5,3.6,78.9,3.5,0.0,2.9,32.0,122270,106039,36634,3.8,0.0,5.4,9.0,6.0,12.3,9.0,28.9,20.5,5.0,14.2,6.5,16.9,3.8,23.6,44.3,28.3,81.3,18.7,1452,0.0,20.4,1055,94.1,5.9,3025,46.4,17.6,18.0,74.4,2.0,21.1,2.5,84.8,6.6,2021
12086007801,"Census Tract 78.01, Miami-Dade County, Florida",60.0,0.3,63.8,2.7,4.3,20.4,25.0,240313,459754,129403,0.0,1.8,4.1,0.0,9.2,8.3,0.0,14.7,1.8,59.9,4.9,1.8,5.9,0.0,8.3,39.6,52.1,95.9,4.1,-666666666,0.0,100.0,243,89.3,10.7,780,48.2,25.0,23.1,83.5,1.5,12.8,2.2,48.8,3.2,2021
12086007805,"Census Tract 78.05, Miami-Dade County, Florida",65.2,3.1,74.1,4.7,0.0,14.3,33.0,122660,173715,64985,4.4,5.1,1.8,2.3,6.2,12.4,10.7,16.1,14.2,26.8,5.8,5.6,3.7,3.6,21.8,50.1,24.4,81.1,18.9,1773,13.0,31.2,1759,89.8,10.2,4395,44.9,22.5,19.9,77.6,0.4,19.5,2.0,66.9,2.0,2021
12086007806,"Census Tract 78.06, Miami-Dade County, Florida",56.2,5.5,69.8,2.1,0.3,20.2,29.2,250001,600504,182343,7.9,0.0,6.8,0.7,1.0,2.3,3.5,10.6,7.7,59.4,16.1,0.0,0.1,5.0,10.8,42.6,41.5,93.7,6.3,3501,0.0,59.6,1262,88.1,11.9,3674,44.8,28.6,20.3,80.9,2.1,14.5,0.3,37.4,4.2,2021
12086007807,"Census Tract 78.07, Miami-Dade County, Florida",69.6,3.6,65.5,5.5,0.0,25.9,28.8,146833,193011,64779,3.1,4.3,5.5,4.3,5.0,6.3,9.3,12.5,14.6,35.2,6.0,8.3,3.9,5.7,28.9,45.2,20.2,69.4,30.6,1750,8.5,56.5,1724,100.0,0.0,5325,41.5,31.0,13.1,62.5,0.9,30.9,2.5,51.0,2.6,2021
