tract_geoid,tract_2010,block_count,auto_jobs_30_mean,transit_jobs_30_mean,bike_safe_jobs_30_mean,walk_jobs_20_mean,auto_jobs_30_std,transit_jobs_30_std,time_tax_minutes_mean,time_tax_minutes_median,pct_blocks_never_viable,stop_count,route_count,daily_trip_count,peak_trips,midday_trips,evening_trips,late_trips,wheelchair_pct,poverty_rate_pct,hh_no_vehicle_pct,snap_benefits_pct,rent_burden_50pct_plus,unemployment_rate_pct,ind_1_transit_dependency,ind_2_temporal_mismatch,ind_3_structural_gap,ind_4_time_tax,ind_5_service_coverage,ind_6_economic_vulnerability,ind_7_multimodal_deficit,composite_need,composite_access_deficit,equity_priority_score,equity_percentile,equity_tier,transit_desert,multimodal_desert,shift_worker_proxy,low_income_share,peak_offpeak_ratio,institutional_tract
12086981100,12086014000,132,854828.75,3398.8030303030305,1126.7727272727273,932.1818181818181,457709.7036744427,3625.138309421242,47.15909090909091,50.0,0.38636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,42.3,0.0,11.5,0.0,0.22328714129200064,0.1091724898404202,0.7250736137702297,0.786291674060054,0.9934695436233283,0.03745,0.9879962004070825,0.13036857064600033,0.720400704340223,0.09391761011720676,45.8984375,Moderate,0,0,0.3,0.0,0.0,True
12086014100,12086014100,105,1106147.6761904762,3191.3714285714286,992.6190476190476,730.6190476190476,208622.23856108982,2925.8363999992275,49.57142857142857,50.0,0.3238095238095238,1.0,1.0,33.0,6.0,8.0,6.0,0.0,0.0,37.5,0.0,0.0,,0.0,0.18550008151054853,1.0,0.7870570879286906,0.8268199233716474,0.6878019492553406,0.11249999999999999,0.9893337680562588,0.14900004075527426,0.8582025457223874,0.12787221428891585,71.875,High,0,0,1.0,21.4,1.2857142857142856,False
12086014200,12086014200,49,1191118.2857142857,2875.8571428571427,867.5918367346939,412.81632653061223,42178.2899917126,1529.5481358885047,38.16326530612245,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.7,19.7,19.1,1.5,0.013876210091536546,0.1091724898404202,0.8214801500210642,0.6351581621588127,0.9945199368612923,0.11556831353034765,0.9911578636811819,0.0647222618109421,0.7102977205125544,0.04597207503072892,8.7890625,Low,0,1,0.3,3.3,0.0,False
12086014300,12086014300,39,1212487.4102564103,2409.5641025641025,1250.7179487179487,541.1282051282051,37258.89155675171,1598.0681889619727,35.8974358974359,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,2.5,10.8,66.1,4.7,0.06934252778182884,0.6116038094294114,0.8591070607058612,0.5970913108193525,0.9954565367432144,0.2535153882175056,0.9906075397404117,0.16142895799966722,0.8107732514876502,0.1308822811616535,74.21875,High,0,0,1.0,22.4,0.0,False
12086014400,12086014400,62,1214046.935483871,3545.2903225806454,191.20967741935485,156.5483870967742,68140.72906712293,3465.6726661768193,34.516129032258064,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.9,9.9,83.1,3.1,0.08634874395354232,0.6116038094294114,0.7847198074145583,0.5738847962912437,0.9931753080916033,0.30029032248964715,0.9925142983165782,0.19331953322159473,0.7911796039086789,0.15295047172207202,87.6953125,High,0,1,1.0,21.5,0.0,False
12086014500,12086014500,90,1178084.2222222222,6293.344444444445,1423.9777777777779,1001.7777777777778,52615.67201094699,3873.6016981589664,32.44444444444444,35.0,0.0,6.0,2.0,260.0,27.0,62.0,47.0,27.0,0.0,6.3,2.8,16.7,50.4,1.1,0.04464028887525577,0.04756782284724775,0.6679961890211984,0.5390796565379086,0.6617771020059752,0.19616335714205116,0.9811052500056214,0.12040182300865346,0.5795052040835902,0.06977348301466603,22.8515625,Low,0,0,0.3,8.7,0.5955882352941176,False
12086014602,12086014600,45,1199766.711111111,6471.377777777778,3504.6222222222223,1663.4444444444443,47958.59457510396,1612.6810721292788,30.88888888888889,30.0,0.0,6.0,1.0,35.0,4.0,8.0,5.0,3.0,0.0,5.2,3.4,15.2,79.1,1.1,0.041828785312943526,0.08742194469223909,0.6661294291814176,0.5129456934705253,0.6777982287665386,0.26051947067916903,0.9727624491382213,0.15117412799605628,0.5834115490497884,0.08819673219043019,40.625,Moderate,0,0,0.3,8.3,0.75,False
12086014702,12086014700,38,1185206.8421052631,5174.1578947368425,1580.4473684210527,878.921052631579,43721.332345692565,1860.8431614976973,33.28947368421053,35.0,0.0,7.0,1.0,35.0,4.0,8.0,7.0,4.0,0.0,10.8,0.0,13.1,51.2,4.2,0.05309246818648859,0.05685712944269687,0.7070064266948697,0.5532764898583479,0.6758095924029023,0.21785870146575945,0.9831938553053442,0.135475584826124,0.5952286987408322,0.08063895606720703,32.2265625,Low,0,0,0.3,12.7,0.6315789473684211,False
12086014800,12086014800,39,1136886.0512820513,3876.3846153846152,1090.4871794871794,623.8205128205128,51718.52670589989,1282.3995521427914,37.43589743589744,40.0,0.0,5.0,2.0,131.0,13.0,32.0,25.0,15.0,0.0,26.9,5.9,46.9,57.6,9.0,0.16202128904626417,0.35986387815112175,0.7547728524345714,0.6229380874794017,0.6676704826246154,0.3992138113130903,0.987934689306489,0.28061755017967727,0.6786359979992398,0.19043717122228704,95.703125,Critical,0,0,1.0,33.199999999999996,0.5416666666666666,False
12086014900,12086014900,67,1108718.8507462686,5148.731343283582,1277.6567164179105,900.1044776119403,42873.179424640104,958.0155243584547,34.62686567164179,35.0,0.0,15.0,2.0,225.0,24.0,56.0,41.0,23.0,0.0,9.5,1.5,24.8,65.9,4.5,0.054125873848753454,0.0487065120428189,0.695065100158583,0.5757452166622968,0.6449388014691017,0.28419140347313904,0.9841067972500628,0.16915863866094624,0.5897124855165726,0.0997549612513464,52.5390625,Moderate,0,0,0.3,12.6,0.6,False
