tract_fips,NAME,pop_16plus,in_labor_force,employed,unemployed,workers_16plus,commute_drove_alone,commute_carpooled,commute_public_transit,commute_walked,commute_other,commute_work_from_home,mean_commute_time_min,median_household_income,mean_household_income,per_capita_income,poverty_rate_pct,with_health_insurance,without_health_insurance,industry_agriculture,industry_construction,industry_manufacturing,industry_wholesale,industry_retail,industry_transport_warehouse,occupation_management,occupation_service,n_stops,n_trips_total,n_routes_served,avg_trips_per_stop,wheelchair_accessible_stops,has_rail_access,transit_jobs_accessible_30min,transit_workers_30min,n_blocks,auto_jobs_accessible_30min,auto_workers_30min,transit_auto_ratio,rt_active_vehicles,rt_active_trips
12086019502,Census Tract 195.02; Miami-Dade County; Florida,3890,2488,2459,29,2436,1948,248,8,0,41,191,36.4,103987,138498,41436,-888888888,-888888888,-888888888,0,213,114,111,325,285,1139,394,0,0,,,0,0,,,,,,,0,0
12086019600,Census Tract 196; Miami-Dade County; Florida,5156,3562,3473,89,3453,2828,289,27,0,0,309,38.9,138125,150371,44854,-888888888,-888888888,-888888888,17,190,101,221,519,387,1407,543,1,142,1.0,142.0,0,0,313.49152542372883,1954.7881355932204,118.0,327012.31355932204,440768.26271186443,0.001,0,0
12086019700,Census Tract 197; Miami-Dade County; Florida,3366,1954,1885,69,1882,1444,219,10,0,83,126,39.2,92981,129887,36365,-888888888,-888888888,-888888888,11,241,39,32,214,161,746,364,2,138,1.0,69.0,0,0,861.1470588235294,5420.764705882353,68.0,308634.42647058825,440206.54411764705,0.0028,0,0
12086019801,Census Tract 198.01; Miami-Dade County; Florida,4100,2944,2823,121,2803,2415,116,0,0,86,186,34.3,113915,136771,41093,-888888888,-888888888,-888888888,47,192,89,48,312,117,1351,424,0,0,,,0,0,,,,,,,0,0
12086019802,Census Tract 198.02; Miami-Dade County; Florida,4105,2560,2489,71,2432,1718,265,70,0,0,379,47.6,128519,132592,39491,-888888888,-888888888,-888888888,0,188,183,100,194,99,1174,453,0,0,,,0,0,,,,,,,0,0
12086019901,Census Tract 199.01; Miami-Dade County; Florida,3096,1889,1810,79,1798,1550,136,0,10,0,102,43.9,70547,101451,31725,-888888888,-888888888,-888888888,0,167,161,50,158,83,691,387,0,0,,,0,0,,,,,,,0,0
12086019902,Census Tract 199.02; Miami-Dade County; Florida,5492,3625,3580,45,3512,2636,490,0,26,33,327,40.2,80313,86913,28153,-888888888,-888888888,-888888888,0,114,63,314,585,354,1631,343,0,0,,,0,0,,,,,,,0,0
12086020001,Census Tract 200.01; Miami-Dade County; Florida,1830,1171,1078,93,1072,809,150,43,0,52,18,47.4,77335,100743,32060,-888888888,-888888888,-888888888,0,123,29,57,222,88,345,185,0,0,,,0,0,,,,,,,0,0
12086020002,Census Tract 200.02; Miami-Dade County; Florida,4055,2579,2491,88,2457,1598,279,0,0,36,544,39.3,121280,118615,35911,-888888888,-888888888,-888888888,6,117,123,59,181,280,980,313,0,0,,,0,0,,,,,,,0,0
12086020100,Census Tract 201; Miami-Dade County; Florida,3756,1904,1826,78,1807,1453,137,0,0,19,198,35.3,74484,98626,25342,-888888888,-888888888,-888888888,10,173,78,31,110,273,729,274,6,516,1.0,86.0,0,0,3704.0851063829787,11040.04255319149,47.0,431869.6382978723,492043.8085106383,0.0086,0,0
12086020200,Census Tract 202; Miami-Dade County; Florida,4807,2882,2800,82,2692,2160,219,0,0,0,313,34.5,66619,74023,21043,-888888888,-888888888,-888888888,7,278,81,46,287,173,888,605,21,1905,1.0,90.71428571428571,1,0,2712.462365591398,8335.709677419354,93.0,516019.376344086,551177.8924731183,0.0053,0,0
12086020300,Census Tract 203; Miami-Dade County; Florida,2797,1738,1686,52,1627,1281,243,5,3,13,82,37.6,82024,86279,27964,-888888888,-888888888,-888888888,0,251,109,25,247,159,479,295,3,504,1.0,168.0,0,0,3796.8214285714284,9582.982142857143,56.0,574405.7857142857,611136.2142857143,0.0066,0,0
12086490100,Census Tract 4901; Miami-Dade County; Florida,1107,813,800,13,800,757,0,5,8,8,22,24.1,60250,83629,32916,-888888888,-888888888,-888888888,0,207,11,13,148,43,123,235,10,1800,2.0,180.0,0,0,36279.63157894737,29241.473684210527,19.0,1383228.4210526317,1328665.0,0.0262,0,0
12086980100,Census Tract 9801; Miami-Dade County; Florida,0,0,0,0,0,0,0,0,0,0,0,-666666666.0,-666666666,-666666666,-666666666,-888888888,-888888888,-888888888,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,0,0
